card_filename,qr_code_url
Gabriel-Bartholomew-2-Bronze-Dark Blue-07.pdf,https://athleti.fi/qr-code/941db202-5323-479c-9a6a-986e9d7966fa
Gabriel-Bartholomew-2-Bronze-Dragon Purple-03.pdf,https://athleti.fi/qr-code/268a07c7-0aad-483b-a34a-f9bf8dd4882a
Gabriel-Bartholomew-2-Bronze-Dragon Red-05.pdf,https://athleti.fi/qr-code/3659e0c3-fbd8-4bfb-9ae0-d71574e0de69
Gabriel-Bartholomew-2-Bronze-Galaxy-06.pdf,https://athleti.fi/qr-code/efc70a6e-6e03-4166-9644-9caf7eea9834
Gabriel-Bartholomew-2-Bronze-Geometric-01.pdf,https://athleti.fi/qr-code/09d2c43a-a07e-44ee-81e2-11d6f2e85ef8
Gabriel-Bartholomew-2-Silver-Space-02.pdf,https://athleti.fi/qr-code/8a314366-59f2-4d9f-819a-676197bf9456
Gabriel-Bartholomew-2-Silver-Universe Nebula-04.pdf,https://athleti.fi/qr-code/f9984c88-9e6a-424d-bd40-10cf65c347aa
